id,link,name,rate,description,reviews
451006,https://www.labirint.ru/books/451006/,Роберт Стивенсон: Остров Сокровищ,9.38," Знаменитый роман Роберта Льюиса Стивенсона в сопровождении подробного историко-бытового комментария, посвященного морскому делу в Англии XVIII века и «золотому веку» пиратства. Рисунки, гравюры, карты, страницы из книг того времени, интерактивные элементы помогают воссоздать живую атмосферу эпохи.В Англии, близ Бристоля, в таверне «Адмирал Бенбоу», в комнате старого капитана, в матросском сундуке, в пакете из клеенки надежно спрятано то, с чего начинаются приключения, известные каждому мальчишке. В Англию XVIII века мы отправимся с этой книгой, чтобы тут же выйти в море и в долгом плавании к острову Сокровищ постичь все морские премудрости.Здесь за текстом знакомого романа оживает эпоха, а в рассказах Капитана Флинта встает перед глазами грозная история пиратства. Здесь можно рассмотреть каждый уголок шхуны от салинга до кильсона, заглянуть в сундучок доктора Ливси, набрать команду корабля вместе со сквайром Трелони, научиться вести судовой журнал, прокладывать курс, считать пиастры и муадоры, стрелять из мушкета и пушки, узнать все о Желтом Джеке, о рифах и бакштагах, о Доке казней, об островах Драй-Тортугас и о разбойничьих гнездах в Испанском море.А еще…— Карта острова Сокровищ— Веревка и памятки по вязанию морских узлов— Детальная реконструкция трехмачтовой 200-тонной шхуны «Испаньола»— Сундук Билли Бонса— Каталог пиратских флагов— Оружейный ящик морского офицера— Корабельные канаты в натуральную величину— Объемный бриг, меняющий галсы— План обороны блокгауза— Подробные биографии знаменитых пиратов— Настоящая черная метка.","Есть у меня одна страсть. По нынешним временам, разорительная для семейного бюджета. Не могу спокойно даже смотреть на книги. Книжные магазины обхожу стороной,как наркоман на излечении, притоны,  отворачиваясь и насильно отвлекая сознание на незначимые вещи. Опасаюсь даже зайти ручку или тетрадку купить - затянет. 
Дома уже есть солидная библиотека, собранная тремя поколениями. Но ведь столького ещё в ней нет.
Все бы ничего. Вроде бы уже и как-то справилась. Живу, имеющееся почитываю, о ""дозе"" почти не думаю.Благо есть интернет. Это не то удовольствие, конечно (как растворимый кофе против натурального в турочке сваренного), но как-то помогает от абстиненции.
Но тут наткнулась я на книжный интернет-магазин - и сорвалась. Вот, думаю, зараза - ещё так удобно приспособили, черти, риска никакого - заказал, что нравится и жди уведомления, оплатишь, когда книжку уже в руки можно взять. 
Полдня сидела в этом сайте - сначала корзину набила тысяч на двадцать пять. А что? Самое нужное только и отобрала. Что-то я уже прочла в детстве. Всё это оставило во мне неизгладимые впечатления. Ребёнку же надо тоже такую вкуснятину ощутить. Надо? Надо!!! Потом ещё исторических ""История государства Российского"" Карамзина, великолепное издание о войне 1812 года - опять для сына, Ледовое побоище - шикарное издание, с картами, рисунками и даже игра там есть,Тевтонский орден, Ливонский орден, рыцари в доспехах. Как не купить? Мальчик растёт - ем у НАДО!!! Перельман ""Занимательные..."" всякие науки. Это ОБЯЗАТЕЛЬНО надо. А себе что ж ничего? Гулять так гулять... накидала полный тормозок. На цену глянула - давай укрощать желания. Отложила ""на потом"", скрепя сердце. На первый раз выбрала три. Среди них - ""Остров Сокровищ"" Стивенсона. Такое издание грех не купить. С макетом парусника, со всякими секретными вкладками и затеями - сундук пирата с содержимым, чемоданчик доктора Ливси с рисунками настоящих, исторически достоверных инструментов, с настоящей картой в кармашке, со схемами вязания морских узлов и даже с верёвочкой для того, чтоб их попробовать вязать. Не книга - КЛАД! Дорого, но очень желанно. Оформила заказ. Пошла к мужу подлизываться и веско аргументировать, что нам очень, крайне необходим, срочно нужен ""Остров сокровищ"" для развития ребёнка. И я как раз, совершенно случайно, его нашла и заказала. Муж нихрена не понял из моей аргументации, но согласился.  Надо - значит надо. 

Две недели я страстно, кайфуя от предвкушения, отслеживала статус заказа. Вот он собран, вот покинул сортировку в Москве, вот он миновал Новосибирск, чу, вот уже в моём городе. СМСка меня обрадовала, как подарок ребёнка в новый год. трепещу. Поехали в пункт выдачи. 
На первом этаже жилого дома в одной из комнат квартирки, переведённой в статус нежилого помещения, напротив мини-парикмехерской в другой комнатке, сидит молодой паренёк. Лет 20. Выпуска девяностых, возможно сын какого-то рокера или байкера. Говорят, молодёжь сейчас не читает, зависает в фейсбуке, в соцсетях, твиттере. Он и сидел, уткнувшись в телефон.
Когда я оплатила книгу, и он бережно положил её мне в руки, я не удержалась и жадно стала надрывать плёнку обертки и извлекла настоящий фолиант, отсвечивающий бронзой и очень фактурный на ощупь. Не сдержалась, выдохнула восторженно - ""Я так ждала!"", как про любимого, получилось. Парень поднял на меня глаза современного, продвинутого компьютерного мага и с пониманием прокомментировал: ""Да.  Отличная книга. Я бы в детстве за такую убил!"" и засмеялся. И я засмеялась, увидев в нём, понимающего меня, человека.
Вот так вот - за обладание хорошей книгой убил бы. А говорят, что нынешняя молодёжь не читает. Привирают, однако!
;
В первом издании ""Острова сокровищ"" было стихотворное вступление под заголовком ""Колеблющемуся покупателю"".

Пираты, шхуны, шторм и штиль,
Сокровища и острова,
Иль звук морских напевов, иль
Их позабытые слова,
Иль те преданья старины 
При свете нынешнего дня - 
Пленят ли юные умы
Так, как пленяли и меня?
Да? Пусть! Но если старина
Прилежным школярам скучна,
Не мил и Купер им - ни он,
Ни Баллантайн, ни сам Кингстон, -
Пусть так! Я буду в их ряду.
А значит, вскоре к ним на дно 
Забвения и я пойду,
И все пираты заодно!

Стивенсон, видите ли, опасался, что слишком глубоко нырнул в прошлое, когда в конце века  XIX решил писать о второй половине XVIII века. Он так и видел, как его покупатель колеблется и поджимает губы. Нам неведом такой страх. Это идеальный приключенческий роман. Без малейших колебаний мы соорудили для него эту сложную оправу из комментариев и теперь с некоторым сожалением выпускаем его из рук, потому что работа закончена. После нескольких лет труда передавая книгу читателям, мы готовимся следить за ее судьбой. Это единственное в мире интерактивное комментированное издание ""Острова сокровищ"". Если что-то и можно к этому добавить, то только слова ведущего редактора этой книги Аллы Солопенко:
""Она очень большая и безумно красивая. Она о том прошлом, которое таится за скучными цифрами и сложными словами.
Там, за статистикой, живые запахи и звуки: крепкий дегтярный дух, шум волн и пение матросов; вкус приключений, щекочущий кончики пальцев восторг вперемешку со страхом. Это романтика первооткрывателей и бесшабашных разбойников, забавная путаница науки и суеверий, наивное соседство утончённости и аляповатости. То особенное ощущение, невыразимая черта, по которой, глядя на вещь или картину, можно почти безошибочно определить принадлежность тому или иному времени. Именно эту неуловимую сущность мы так старались передать в книге: в гравюрах, картах и схемах, шрифтах и виньетках, в самих многочисленных комментариях.
За время работы над книгой и пираты, и честные моряки стали для нас почти родными. Очень надеемся, что читатели разделят нашу симпатию и, забыв обо всём, отправятся в увлекательное плавание по волнам прошлого. Чтобы найти свой Остров Сокровищ"".
;
Текст в классическом переводе Н. Чуковского печатается без сокращений."
786953,https://www.labirint.ru/books/786953/,Жюль Верн: Вокруг света в восемьдесят дней,8.26,"""Вокруг книги"" - это лучшие произведения мировой литературы с подробным историко-бытовым комментарием.Комментарии расположены на тематических разворотах с многочисленными интерактивными элементами и объемными иллюстрациями.С героями этой книги, бесстрастным английским джентльменом Филеасом Фоггом и его слугой Жаном Паспарту, читатель обогнёт земной шар и увидит, каким был мир почти полтора века назад. И хотя путешественники слишком спешат вернуться в Лондон и выиграть пари, Жюль Верн так живо описывает разные страны и города, а комментарии и иллюстрации раскрывают столько любопытных подробностей, что стремительное путешествие становится захватывающие интересным.Тенистые сады Сингапура и шумные улицы Сан-Франциско, город мормонов и индийские джунгли, заснеженные просторы Небраски и чудесная долина Ганга - на тематических разворотах всё это можно изучить неспешно и внимательно, научиться отличать брахмана от кшатрия и вигвам от типи, разобраться в устройстве парусных судов, рассмотреть множество удивительных нарядов, причесок, повозок, жилищ и храмов и сверить маршрут с географическими картами XIX века.А еще:- Все необходимые географические карты- Достопримечательности трех континентов- Справочник начинающего моряка- Богиня Кали во всей пугающей красе- Объемная японская пагода- Советы опытных путешественников XIX века- Винтовой пароход и американский поезд в деталях- Игра ""Путешествие вокруг света с Нелли Блай""","Позволю себе не разделить восторга предыдущих ораторов относительно того, что Лабиринт превзошел сам себя! Это 14-я книга данной серии в моей коллекции. Коллекция плохое слово применительно к книгам, но в данном случае, предыдущие книги были истинными шедеврами, чем-то невероятным в сравнении с другими отличными и высококачественными изданиями, как других издательств, так и книгами других серий самого Лабиринта. И эта невероятность привела меня к натуральному коллекционированию. Т.е. с выходом каждой новой книги в серии заранее было понятно, надо брать! Но теперь буду думать. С учетом акций, скидок и еще купона, конечно, это отличная книга за свои деньги, но не более. Конечно в ней больше страниц, чем в предыдущих. Но в предыдущих книгах была невероятно проработана каждая страница,  а здесь даже не через одну, через пять – шесть. На прикрепленных предыдущими ораторами фото, запечатлены только интерактивные развороты из которых раньше состояла вся книга, а теперь только ее очень малая часть. Да и «секреты» на разворотах в предыдущих изданиях были проработаны значительно интересней, а не просто в виде простых сложенных прямоугольных страничек. Книга отличная, но если раньше это был бескомпромиссный недосягаемый для других уровень, то  теперь просто отличная книга за свои деньги.
;
Лабиринт превзошел сам себя с этой книгой - уж на что были предыдущие интерактивные книжки впечатляющие, а здесь прямо совсем все богато разворотами, иллюстрациями и в конце даже есть полноценная настольная игра. Фотографии прикладываю и ухожу изучать подробнее :)
;
Очень неожиданный выбор произведения для книги подобного формата, но, если подумать, оно идеально - множество стран мира, та-а-ак много можно рассказать, столько мелочей раскрыть. И правда - эта книга по-настоящему потрясает своей проработанностью, количеством сносок, графических элементов. Очень хочется ее кому-нибудь подарить, но еще больше - оставить себе! :) Хочу поделиться несколькими фотографиями, но они, как уже замечено, не отображают прямо всего впечатления от книги."
840898,https://www.labirint.ru/books/840898/,"Тур Хейердал: Экспедиция ""Кон-Тики""",8.33,"Отважный человек, нестандартно мыслящий, самоотверженно следующий своим идеям, - так можно характеризовать Тура Хейердала. Он - автор этой книги, вдохновитель экспедиции ""Кон-Тики"" и её участник. Путешествие через Тихий океан на плоту, совершённое более 70 лет назад, кажется невероятным. Ведь тогда ещё не было ни мобильной связи, ни спутниковой навигации, ни прочих достижений цивилизации, которыми пользуются путешественники в наши дни. Тур Хейердал и его команда - Эрик Хессельберг, Герман Ватцингер, Кнут Хаугланд, Торстейн Робю, Бенгт Даниельссон - шестеро смельчаков, доверившись воле ветра и течений, преодолели на деревянном плоту 8000 километров за 101 день. Захватывающее приключение на просторах океана и сложная и опасная подготовка к нему - всё это легендарная Экспедиция ""Кон-Тики"".","Наверное, впервые вижу книгу, про которую хочется сказать ""понравится каждому"". По сути это шикарно оформленный рассказ норвежского путешественника Тура Хейердала об экспедиции на плоту ""Кон-тики"". Но благодаря многочисленным примечаниям можно узнать больше и про судьбу Хейердала, и про историю и культуру тех мест, где побывали норвежцы, и про экосистему океана, и про морскую навигацию. Получилась книга, которая будет страшно интересна человеку и в 10, и в 70 лет. Идеальный подарок кстати.
;
Ахуру из ахуру по-таитянски.
В этой книге прекрасно всё: втор, история, иллюстрации, интерактивные элементы...
Проще сказать что мне не понравилось: тот факт что книгу выпустили только сейчас, а не раньше, в остальном, очень доволен.
;
Эх, ребята! Вы что творите?! Держу в руках очередной ШЕДЕВРИЩЕ!!! (В моей коллекции уже 10й из этой серии ??)
Реально: книга-путешествие! Море интересной информации, знаний. Множество вкладок, секретиков. Если у кого есть сомнения-долой!!! Книга просто огнище!!! Интересно как взрослым, так и детям. Я в предвкушении и в нетерпении приступить к чтению.
Огромная благодарность создателям таких книг! Восторгу моему нет предела."
614463,https://www.labirint.ru/books/614463/,Артур Дойл: Приключения Шерлока Холмса,9.06,"Интерактивное комментированное издание рассказов о самом известном детективе всех времен и народов. Эта книга - настоящее сокровище для любителей детективного жанра, викторианской Англии и истории в деталях!Пять рассказов Артура Конана-Дойла о Шерлоке Холмсе и докторе Уотсоне снабжены подробным историко-бытовым комментарием. Читателя ждет погружение в лондонскую жизнь конца XIX века: в комментариях - история и география Британии, достижения медицины и традиции образования, мода и транспорт рубежа веков, увлекательная история криминалистики: известные преступники и прославленные сыщики, отпечатки пальцев и следы обуви, грим и маскировка, яды и оружие.В этой книге поздневикторианская Англия предстает в современных иллюстрациях Олега Пархаева и классических - Сидни Пейджета, а также подлинных рисунках и фотографиях, картах, карикатурах, рекламных плакатах и газетных вырезках.Множество дополнительных материалов, объемные конструкции, клапаны, интерактивные иллюстрации.А еще:- Лупа - верный друг детектива (плоская лупа в кармашке на форзаце)- Интерактивный план квартиры на Бейкер-стрит- Карта-путеводитель - Лондон Шерлока Холмса- Тонкости дедуктивного метода- Последние достижения криминалистики- Объемный кэб- История лондонской полиции- Личные дела главных персонажей- Архив Холмса- Досье дерзких преступников и талантливых сыщиковДля детей 9-12 лет.","Фотографии сделаны на выставке. Фотографировала наспех, к сожалению. На самом деле книга с полиграфической точки зрения гораздо лучше, материал и иллюстрации богаче и разнообразнее. Мне удалось сфотографировать лишь несколько страниц, увы, не самых интересных и впечатляющих, так как книгу чуть не выхватывали из рук желающие взглянуть на нее. Это был единственный распечатанный экземпляр. 
Однако непосредственно рассказов немного, выбор их не самый лучший, поэтому отнимаю звезду.
Недостаток этот искупает эффектное исполнение. В качестве подарка и как коллекционное издание книга очень даже хороша.
;
Пару дней назад дочитали с дочкой эту книгу. До нее мы совсем не были знакомы с произведениями о Шерлоке Холмсе.

Отзывов с описанием достоинств книги здесь очень много (и книга, действительно, шикарная). Не буду повторяться, а напишу не о недостатках даже, а о крошечных мелочах, которые мешают мне назвать эту книгу целостно-идеальной. 

Составлять антологию - дело непростое, и в сто раз оно труднее, когда надо выбрать 5 рассказов из 56 (+ еще есть 4 повести). Включенные в книгу рассказы сам Конан Дойль назвал одними из лучших. К тому же, как я понимаю, составители пытались собрать рассказы, наиболее интересные с точки зрения жизни той эпохи и возможностей комментирования. В целом книга удалась, но так как мы с дочкой впервые знакомились с историями о Шерлоке Холмсе, нас немного сбивало с толку отсутствие связного сюжета жизни героев, ведь в рассказы не попало знакомство Уотсона и Шерлока, во втором рассказе совершенно внезапно появляется жена Уотсона и выясняется, что Уотсон уже живет в отдельном доме, в последнем рассказе также внезапно оказывается, что жена умерла уже. Составителям, конечно, большое спасибо за то, что некоторые оставшиеся ""за кадром"" события серии они вынесли в комментарии, это добавляло действию связности, но в целом было смутное ощущение, что слишком серьезные ограничения накладывает такой вот иллюстрированный формат, и он не совсем подходит для столь длинной серии произведений.

Еще немного хочу сказать о комментариях. Они отлично передают жизнь эпохи, я лично почерпнула немало интересного для себя, но вот дочка (9 лет) большую часть их нашла скучными и читать не стала. Скажем, в книге Остров сокровищ она перечитала абсолютно все комментарии, ведь там была романтика путешествий и пиратов, а графства, пэры, ордена из шерлокхолмовского издания ее совсем не заинтересовали.

Вердикт: мне показалось, что книга отлично подойдет тем, кто уже знаком с историями о Шерлоке Холмсе и кому хочется узнать как можно больше о любимом герое, как он жил, какая эпоха его окружала. Нашу семью книга побудила разыскать полный сборник произведений о Шерлоке Холмсе и начать его читать. И очень замечательно, что эти новые приключения читаются гораздо ярче, благодаря почерпнутой в иллюстрированной книге информации.
;
Получили эту замечательную книгу! Просто шедевр для пытливых читателей. Это Книга, в которой, пожалуй, самое интересное - на полях. Понравилась всей семье. Около часа просто рассматривали. 
Потрясающая книга! У нас есть уже остров сокровищ из этой серии. Приключения Шерлока Холмса достойно дополнили коллекцию отличных книг!"
869738,https://www.labirint.ru/books/869738/,Артур Дойл: Записки о Шерлоке Холмсе,9.07,"В книгу вошли пять рассказов Артура Конан Дойла о знаменитом сыщике Шерлоке Холмсе и его верном друге и биографе докторе Уотсоне. Рассказы сопровождаются подробным историко-бытовым комментарием, позволяющим многое узнать о жизни в поздневикторианской Англии, о громких преступлениях, методах криминалистики и работе детектива. Британия рубежа XIX-XX веков оживает в рисунках, фотографиях, картах, рекламных плакатах, карикатурах и газетных вырезках. Яркие и достоверные детали помогают проникнуться неповторимой атмосферой эпохи.А еще:- Карманный справочник криптографа-любителя и шифровальные приспособления.- Чудеса дедукции.- Британский джентльмен от ботинок до шляпы.- Взлетающий дирижабль.- Викторианский Лондон на земле и под землей.- Лига Плюмажа и Орден чудаков.- Знаменитые преступления XIX века.- Отпечатки пальцев сквозь лупу детектива.- Шпионские страсти.- Путеводитель по всем делам прославленного сыщика.","Вторая книга, наконец-то! Уже и не чаяли, как говорится. Шерлок Холмс - это про эстетику, внимание к деталям и стиль. Изучить ее как следует пока еще времени не хватило - книга не на один вечер.
В книгу вошли: ""Союз рыжих"", ""Подрядчик из Норвуда"", ""Голубой карбункул"", ""Пляшущие человечки"", ""Его прощальный поклон"". На полях, как всегда у этой серии, много исторических и культурных фактов. Какие-то более известные, какие-то - менее.
Совершенно очевидно, что проведу с этой книгой еще много времени.
Дарите всем поклонникам Шерлока!
;
Честно говоря, я и мечтать не могла о том, что у того роскошного издания будет продолжение. Но это внезапно стало реальностью! И снова тысячи мелочей для разглядывания, тысячи интересных фактов и, конечно, великолепные рассказы с классическими иллюстрациями в классических переводах. Браво!
;
Восторг, восторг, восторг! Моя коллекция изданий о Холмсе пополнилась очередным шедевром. Благодарю создателей! А можно попросить когда -нибудь Агату Кристи также сделать?"
464615,https://www.labirint.ru/books/464615/,Роберт Стивенсон: Остров Сокровищ,9.36,"Знаменитый роман Роберта Льюиса Стивенсона в сопровождении подробного историко-бытового комментария, посвященного морскому делу в Англии XVIII века и ""золотому веку"" пиратства. Рисунки, гравюры, карты, страницы из книг того времени, интерактивные элементы помогают воссоздать живую атмосферу эпохи. В Англии, близ Бристоля, в таверне ""Адмирал Бенбоу"", в комнате старого капитана, в матросском сундуке, в пакете из клеенки надежно спрятано то, с чего начинаются приключения, известные каждому мальчишке. В Англию XVIII века мы отправимся с этой книгой, чтобы тут же выйти в море и в долгом плавании к острову Сокровищ постичь все морские премудрости. Здесь за текстом знакомого романа оживает эпоха, а в рассказах Капитана Флинта встает перед глазами грозная история пиратства. Здесь можно рассмотреть каждый уголок шхуны от салинга до кильсона, заглянуть в сундучок доктора Ливси, набрать команду корабля вместе со сквайром Трелони, научиться вести судовой журнал, прокладывать курс, считать пиастры и муадоры, стрелять из мушкета и пушки, узнать все о Желтом Джеке, о рифах и бакштагах, о Доке казней, об островах Драй-Тортугас и о разбойничьих гнездах в Испанском море. А еще... - Карта острова Сокровищ - Веревка и памятки по вязанию морских узлов - Детальная реконструкция трехмачтовой 200-тонной шхуны ""Испаньола"" - Сундук Билли Бонса - Каталог пиратских флагов - Оружейный ящик морского офицера - Корабельные канаты в натуральную величину - Объемный бриг, меняющий галсы - План обороны блокгауза - Подробные биографии знаменитых пиратов - Настоящая черная метка","Все же я убедился, что книга-бомба!
Большая, красочная, с тьмой-тьмущей всяких секретиков, с огромным количеством информации.
------------------------------------------
Купить, не купить - ломал себе голову гамлетовским вопросом.
""Алису"" в прошлом году - купил не глядя. Год прошел - по ""Алисе"" ноль отклика у детей - а ведь книга красивая.
На полке стоит отдельно - с безделушками на туже тему ""Алисы"" (кролики с часами, игральные карты с тематикой Алисы и прочее).
... Викторина ""про Алису"" - пробудила интерес к книге дома!!!
----------------------------------
И самому - для себя - вроде бы охота книгу. И понимаю, что рестайлинговая книга - исправленная...
И... что-то вот никак не решусь.
А ведь красивая книга. Добротная.
Листал-листал в четверг на ""нон-фикшене""... хорошая книга.
Денег, что ли жаль?
Не могу понять сам себя.
___________________________
Чем-то меня книга не устраивает. Ценой - да. Дорого. За 1000 - не глядя бы купил.
Но и кроме цены - чем-то не устраивает.
Чем? Сам не знаю!
(да... именно вот всем разнообразием и отвлекает от чтения. но... тут и фильм просмотрели на эту тему с Сильвером Борисом Андреевым - шедевр... и книга шедевр)...
-----------------------------------------
Все-таки купил. Все эти ""скидки"" +150 бонусов за викторину.
Итого книга за 1150 руб обошлась.
----------------------------------------
Ребенок доволен сверхмеры.
Книга ""настольная""..........
Я прям очень-очень сильно рад, за ребенка, что с таким увлечением рассматривает книгу, читает книгу, ищет в книге отгадки и секретики.
Классно!
;
Когда книга ненадолго пропала из продажи (разобрали за пару месяцев! и не мудрено - книга фантастическая), я приготовилась кричать ""караул"". Я-то  уже нацелилась её всем в подарок купить. :) У нас дома ""Остров Сокровищ"" Лабиринта уже давно, с другим вариантом обложки. Купила сразу, как он появился: я не пропускаю книги этой серии. 
Для тех, у кого обязательно возникнут сомнения, подтверждаю: издания ничем абсолютно не отличаются, кроме обложки. Какая мне нравится больше, честно говоря, даже не знаю. По-моему, эта, синенькая, а сын сказал, что ему больше нравится предыдущая (вот и отлично, у него как раз она и есть). А мне синяя кажется ещё более подарочным вариантом, праздничным -как раз к Новому году.
;
Прекрасное издание и даже взрослому интересно. Собственно говоря с сыном рассматривали ее в состоянии конкуренции.  
Еще она большая! А в детстве это главное.  
От книжек подобных комиксам про пиратов Карибского моря (героев Д.Деппа и пр)  эту книгу выгодно отличает достоверность, насколько это возможно в жанре приключений.  

В принципе сами картинки иногда излишне вычурны, но это дело вкуса. Зато сама конструкция не хлипкая, впрочем, сейчас это не редкость.

Надо отдать должное коллективу авторов комментариев. В общем все по делу. 
Например их мужественное решение не советовать читателям пользоваться услугами доктора Ливси.

Если пофантазировать ,что можно добавить...Плакат с кораблем, который можно повесить в детскую комнату на стену."
706880,https://www.labirint.ru/books/706880/,Артур Дойл: Приключения Шерлока Холмса (тканевая обложка),9.07,"Интерактивное комментированное издание рассказов о самом известном детективе всех времен и народов. Эта книга - настоящее сокровище для любителей детективного жанра, викторианской Англии и истории в деталях!Пять рассказов Артура Конана-Дойла о Шерлоке Холмсе и докторе Уотсоне снабжены подробным историко-бытовым комментарием. Читателя ждет погружение в лондонскую жизнь конца XIX века: в комментариях - история и география Британии, достижения медицины и традиции образования, мода и транспорт рубежа веков, увлекательная история криминалистики: известные преступники и прославленные сыщики, отпечатки пальцев и следы обуви, грим и маскировка, яды и оружие.В этой книге поздневикторианская Англия предстает в современных иллюстрациях Олега Пархаева и классических - Сидни Пейджета, а также подлинных рисунках и фотографиях, картах, карикатурах, рекламных плакатах и газетных вырезках.Множество дополнительных материалов, объемные конструкции, клапаны, интерактивные иллюстрации.А еще:- Лупа - верный друг детектива (плоская лупа в кармашке на форзаце)- Интерактивный план квартиры на Бейкер-стрит- Карта-путеводитель - Лондон Шерлока Холмса- Тонкости дедуктивного метода- Последние достижения криминалистики- Объемный кэб- История лондонской полиции- Личные дела главных персонажей- Архив Холмса- Досье дерзких преступников и талантливых сыщиковДля детей 9-12 лет.","Узнала про данное издание в сторис Инстаграма и решила тоже заказать три книги.
Пока рассматривала книгу после получения, меня охватило восхищение, что на следующий день взялась за чтение. Настолько увлекательно читать именно интерактивную книгу Лабиринта. В этой книге уже главную роль играет не то, что произведения интересные. Ведь сам по себе Конан Дойл весьма захватывающе писал. Но именно в таком издании изюминка это интерактивность. И у Лабиринта она особенная. Я в восторге от всех вкладышей, дополнительной информации. Ведь просто представленные факты не так уж интересно читать в просто печатном издании. А здесь всё сочетается со стилем книги, с эпохой повествования. И гораздо увлекательнее, когда прочитал реальные жизненные факты, а потом сразу видишь их намёк в произведении. Подобные издания Лабиринта шикарная серия интерактивных книг. Я прочитала статью на сайте Лабиринта про эти издания и полностью согласна с каким трудом всё создавалось, придумывалась. Отдельная книга - целый отдельный проект. Очень счастлива, что познакомилась с интерактивными книгами издательства ""Лабиринт Пресс"".
;
Очень рада покупке! Главная ценность - развернутые комментарии и шикарные иллюстрации, кропотливая работа составителей. Прочла истории о Шерлоке и Уотсоне будто заново. Спасибо составителям этой замечательной книги! Ранее купила Алису (обе части), Петра Первого и Остров Сокровищ. Остров и Шерлок понравились больше всего! Вот бы Евгения Онегина с комментариями Лотмана совместили и в таком формате выпустили!!!!!!! Мечта.
;
Что ж, долго собиралась купить какую-нибудь книжку из этой серии, как увидела что Шерлок Холмс появился в ткани, все-таки решилась. И это просто прекрасно! Отличного качества книга с картами, разворачиваемыми инфовкладками, панорамами - чего тут только нет для того, чтобы полностью погрузиться в эпоху Холмса."
