id,link,name,rate,description,reviews
484143,https://www.labirint.ru/books/484143/,Притчи всех времен и народов,8.71,"Высокие истины и сложные понятия люди научились излагать в самой простой форме - в притчах, в близких им по форме баснях, пословицах и афоризмах. Притчи рассказывали людям мудрецы и пророки, философы и поэты, они были понятны и неграмотному крестьянину, и знаменитому  ученому, и юноше, вступающему в жизнь, и старику, готовящемуся покинуть этот мир. Притчи - сокровищница мысли человечества, в них люди сохранили мудрость своего тысячелетнего бытия на нашей планете. В этой книге вы прочтете исторические и философские притчи разных времен и народов. В нее вошли и притчи из Библии, и из сборника ""Сказки 1001 ночи"", и притчи в изложении  Л. Н. Толстого.","Издание потрясающее!!!
Все странички глянцевые, цвета насыщенные, яркие. Очень красивые форзац.
Почти на каждом развороте на странице слева репродукция картины, справа притчи, также с небольшими иллюстрациями. На подарок - то, что нужно! Очень красивое и качественное издание, которое сможет передаваться детям и внукам!
;
Шикарная книга! Очень красивое оформление, плотные листы, красочные иллюстрации! Я рекомендую иметь такую книгау в домашней библиотеке!
;
Добавляю фотографии"
913003,https://www.labirint.ru/books/913003/,А. Николаева: Японские мифы и легенды. Главные предания Страны восходящего солнца,8.60,"Мифология - большая часть нашей культуры, образы которой мы часто встречаем в искусстве, литературе или музыке. Как и в греческой мифологии, в японской мифологии есть свои боги, монстры и сверхъестественные существа. В Стране Восходящего Солнца их более 8 миллионов. Происходя из синтоистской религии, они берут свое начало в Кодзики - крупнейшем памятнике древнеяпонской литературы, одного из первых письменных памятников.Через японскую мифологию прорисовываются предпосылки японской культуры. Помимо интригующих историй и сказок, которые развлекают детей, каждый мифологический персонаж передает сообщение и ценности, характерные для японской цивилизации. Если вам интересно узнать о Японии, ее формах искусства и ее верованиях, вам следует прочитать о ее мифологии в этой богато иллюстрированной книге.","Мне подарили эту книгу на Новый Год. Она очень красивая! Большая и тяжелая, с золотым тиснением на обложке и алой закладкой-ляссе (удобно), с репродукциями древних японских живописцев на каждой странице - глаз радуется! Очень приятно держать в руках и читать. Для подарка - это изумительный и изящный вариант!!! Я очень довольная )) 

Под репродукциями прописаны названия, авторы и годы создания. Я живо интересуюсь живописью и была бы рада видеть еще материалы (""тушь на шелке"" и т.д.) и размеры полотен. Отдельное спасибо за пейзажи суми-ё на титульных листах ))

Я раньше не была близко знакома с мифами Японии, тем занятнее для меня эта книга. Удивительно, но 100% их легенд обязательно про смерть и/или духовность. Становится понятна культура страны. Выяснила, что в отличие от шумерских мифов, японские ""распаковываются"" на ура. С другой стороны, в них зашито много морали и она часто тяжелая, то бишь заставляет глубоко  задумываться об этике. Одним словом, для любителей фольклора вроде меня это настоящее сокровище и окно в другую культуру!
;
Эта книга предназначена, видимо, для детей. В центральном мифе танец богини Удзуме с обнаженной грудью и промежностью описывается в этой книге как ""богиня распустила застёжки"". Бог Сусаноо был изгнан за то, что именно испражнился в месте приема пищи, а не просто ""осквернил рисовые поля"". Это непонятно и ненаучно. От кого скрываются эти антропологически важные детали, если книга не предназначена для детей, по крайней мере этого нигде не указано? Что за ненужная цензура? Жаль, что приходится откладывать книгу и сверяться с Википедией. Единственное, что хоть как-то утешает, это обилие иллюстраций  хорошего качества и охват тем.

Подойдёт, если хотите атмосферно полистать иллюстрации сопровождаемые общей зарисовкой в формате сказки, но если серьезно относитесь к мифологии и знаете, чего стоят вышеуказанные отличия, то ищите другую, более серьезную книгу (хотя Кодзики или другие академ.издания на тему я сейчас в продаже не вижу)

Кроме того, видела строчку с пропуском всех пробелов между словами, пока единожды.
;
Интересная книга, имеется множество цветных гравюр и иллюстраций средневековой Японии. Здесь собраны самые популярные легенды страны восходящего солнца."
831054,https://www.labirint.ru/books/831054/,Марон Вергилий: Буколики. Георгики. Энеида,10.00,"В книгу вошли три произведения Публия Вергилия Марона: поэма о сельском хозяйстве ""Георгики"", ""Буколики"" - ""пастушеские"" песни и ""Энеида"" - повествование об Энее. Предисловие С. Шервинского, перевод с латинского С. Шервинского и С. Ошерова, примечания Н. Старостиной.",
249966,https://www.labirint.ru/books/249966/,Журавлиные перья. Японские народные сказки,9.49,"Немного наивные и глубоко лиричные японские сказки мудры, как жизнь, и просты, как хокку. В них, словно в зеркале, отражены эстетические и духовные идеалы людей, стремящихся жить в гармонии с окружающим миром. Японцы тонко чувствуют его красоту, поэтому их сказки столь поэтичны. Поэтичность и изысканная утонченность характерны не только для фольклора, но и для изобразительного искусства Японии. Если верно утверждение, что глаза - зеркало души, то картину можно назвать отражением действительности, увиденной и воссозданной художником. Старинные гравюры, вошедшие в книгу, органично дополняют текст. Они дают читателю представление о природе и культуре Страны восходящего солнца, о быте и нравах ее жителей, позволяют глубже погрузиться в атмосферу японской сказки.- цветная печать- бумага плотная мелованная матовая- блинтовое тиснение на всю сторонку- ляссе","Эта исповедь почти не касается книги, поскольку всё что можно сказать о содержании и о полиграфии, уже сказано рецензентами-гросмейстерами. Я тешу себя надеждой, что следующий далее текст может обратить на себя внимание некоторых взрослых, которые, приняв всерьёз следующий далее поток сознания, вдруг совершат необычный для себя выбор и, тем самым, могут повлиять на развитие вкусовых предпочтений своего ребенка. Может быть их чада пристрастятся к чтению и обретут настоящую речь, а с ней способность хорошо рассуждать. Но я рискую так и не приступить к самой исповеди...

Это была первая книга ИД Мещерякова, с которой у меня впоследствии развилась ИДМания! 

Уже больше года прошло моей тихой (в том смысле, что я этого не обнародовал) радости обладания этой книгой. С неё началась перестройка моего сознания. Книги я покупаю давно (уже несколько тысяч экземпляров накопилось), но я не придавал сколь-нибудь серьезного значения полиграфии. Когда же у меня в руках оказалось это чудо, то через две недели оказалось еще одно из этой же серии, а потом еще и еще. 

Теперь мои старинные рецензии иногда производят на меня странное впечатление. Как будто их писал человек с жизненным кредо: ""и так сойдет"". Часть этих рецензий, которые были отмечены значком руки с поднятым большим пальцем я стер уже полгода назад. Остальные (помеченные значком 10-ти, 15-ти или 20-ти серебрянников) перешли в разряд нестираемых. 

Я радуюсь за своего младшего ребенка. Его приобщение к книжной культуре началось как раз в то время, когда наши полки стали наполняться такими книгами. Если они способны поменять вкусовые пристрастия взрослого человека, то какую же роль они могут сыграть в становлении вкусов ребенка.

Теперь же я, уподобившись старушке, скупающей соль и спички по причине скорейшего наступления конца света, судорожно покупаю книги от ИД Мещерякова, ""Нигмы"", ""Вита-Новы"" (книги этого последнего издательства покупаю только по большим праздникам, поскольку это уже очень дорого).

Дело в том, что некоторые издательства сдали свои позиции прямо на глазах. Еще полтора года назад они стабильно выпускали приличные книги, а теперь захалтурили. Одни торопят своих авторов, другие снижают полиграфическое качество, третьи нанимают переводчиков-дилетантов, чтобы не платить хорошие гонорары, четвертые берут древние переводы, чтобы вообще ни кому не платить (попробуйте купить, например, ""Фауста"" в переводе Б.Пастернака). Я не буду здесь называть конкретные издательства, надеясь, что может быть они пересмотрят свою издательскую политику (да, я наивен).

В связи с этим, цены на приличные издания растут, поскольку они быстрее расходятся на фоне ширпотреба (к примеру, ""Истории для детей"" Диккенса в серии ""Книга с историей"" исчезли, несмотря на то, что уже допечатывались; Вадим Мещеряков сообщил, что скоро будет предпринята еще одна допечатка). Сказки Гауфа в ""Вита-Нова"" совсем недавно можно было купить за 3500 руб. Теперь просят в два, а то и в три раза больше (в Озоне 10150 руб), то же верно относительно сказок ""Гофмана"" (я, к счастью, успел это купить). 

Я благодарен ИД Мещерякова, что он упорно гнет свою линию. По-моему, он не очень прислушивается к запросам покупателей, он просто их формирует. Может быть он не прав с меркантильной точки зрения, но он, в конечном итоге, окажется прав в некоем идеалистическом смысле. Может быть он сохранит для общества какое-то количество просветленных душ, которых окажется, как раз, достаточно, для того, чтобы предотвратить его - общества - одичание.

Я сочувственно отношусь к тому, что Вадим Мещеряков начал заниматься выпуском солдатиков и прочей оригинальной продукции, но надеюсь, что это когда-нибудь закончится. Я надеюсь, что настанет время, когда скрипачи (не все, конечно) перестанут зарабатывать на жизнь в подземных переходах потому, что залы филармоний наполнятся настоящими ценителями настоящей музыки. Я надеюсь, что книжный бизнес не будет требовать титанических усилий от его лучших представителей. Что никому не нужно будет наступать на горло собственной песне.     

Спасибо за то, что Вы для нас делаете! Извините, если я где-то Вас неправильно понял и ошибочно расставил акценты.
;
ДА-ДА!!!
эту книгу мы ВСЕ благоговейно принесли домой с 23 ММКВЯ!!!
НЕ ВЗЯТЬ её - НЕВОЗМОЖНО.
Японские Сказки (именно ТАК - С БОЛЬШОЙ БУКВЫ! уж очень они ХОРОШИ по тексту!!!) в переводе Веры Марковой - классический перевод. Да плюс - ПРИМЕЧАНИЯ с пояснениями незнакомых слов... Да плюс - комментарии к гравюрам... 
К СЛОВУ, из примечаний с пояснениями я узнала, КАК называется эта японская ширма, что взята для оформления японских гравюр (а НЕ КАФЕЛЬ, как некоторые отмечали:-)) - СЁДЗИ - во как она называется!!!

Ну, про ОФОРМЛЕНИЕ уже нам всё поведала Курносая Рецензентка - оформление просто ОБАЛДЕННОЕ!
Что неудивительно - это ж серия ""Отражения"" от Мещерякова! Нежно и любовно им выпестованная!

Удобный вытянутый формат, превосходная на ощупь обложка ""с выпуклостями"", шикарная плотная мелованная бумага (тонированная под японскую рисовую (?) бумагу, что используется в этих самых СЁДЗИ), красная ленточка-ляссе, и УМОПОМРАЧИТЕЛЬНЫЙ обрез...

НЕ КУПИТЬ - НЕВОЗМОЖНО!!!!!!!!!
это я вам говорю!:-))))
;
Сегодня с ярмарки я притащила это ЧУДО-РАСЧУДЕСНОЕ!

Сижу вот теперь и наслаждаюсь. Вот умет ИДМ работать и "" выдавать"" что-то просто ни на что не похожее и ранее не встречающееся. Не хочется сравнивать обе книги этой замечательной серии, потому что они совершенно разные - и по настроению, и по внутреннему содержанию, и вообще разные! 

Какое же шикарное оформление у книги. Твёрдая обложка с "" набивным рисунком"". Да,да все цветочки, лепесточки, птички и "" клеточки"" выпуклые . "" Полуфутляр"" из плотного , по моему, ламинированного картона. А внутри старинные японские гравюры , которые сочетаются с текстом. Их очень много : и полностраничных, и небольших по тексту. А еще начало каждой сказки оформлено иллюстрацией  без рамок. Плотная мелованная тонированная в серый цвет бумага страниц( текстура рисунка мне напоминает песок).  Красная шелковая ленточка-ляссе . И какой же ОБРЕЗ - это визитная карточка серии. Ну где вы еще встретите ТАКОЕ...А форзацы, а сочетание всего этого  - КРАСОТА!!!

Перевод с японского Веры Марковой.

С удовольствием сегодня буду читать сей ШЕДЕВР и наслаждаться. Сразу видно сделано с любовью и желанием сделать лучшее !!! Обожаю это издательство. Я в восторге!!! СПАСИБО!!!"
910615,https://www.labirint.ru/books/910615/,Дмитрий Зеленин: Великорусские сказки Вятской губернии. Том 7,0.00,"В настоящий сборник вошли сказки Вятского края, записанные в 1908 году членом Русского Географического Общества Дмитрием Константиновичем Зелениным.Как пишет сам Дмитрий Константинович, ""Вятский край нельзя назвать особенно богатым народными сказками. Скорее наоборот: страна Вятская бедна сказками.""Тем не менее, в настоящем сборнике представлено 133 сказки Вятской губернии и 6 Вотяцких сказок.Сказки не адаптированы и будут интересны, скорее, взрослым, чем детям.",
498969,https://www.labirint.ru/books/498969/,Японские народные сказки. В 2-х томах,8.68,"Книги японских авторов отличаются особым философским взглядом на жизнь, иногда приправленным суровой правдой жизни, а иногда - легким налетом мистицизма. Это особенно заметно в произведениях, которым удалось вырваться за пределы Японских островов и завоевать поклонников по всему миру. Культовый роман Кобо Абэ ""Женщина в песках"", чуть сумасшедшие сочинения Харуки Мураками, трагичное ""Эхо небес"" нобелевского лауреата Кэндзабуро Оэ, самый читаемый из японских романов ""Золотой храм"" Юкио Мисимо... все они настолько многослойны, что их можно читать и перечитывать, каждый раз открывая для себя новые смыслы. Читая двухтомник японских народных сказок, понимаешь, что именно на них могли вырасти знаменитые японские писатели. Каждая сказка по-своему волшебна. Очень добрые, назидательные или откровенно жутковатые, они написаны простым, но чарующим языком. Стоит начать читать - и приходишь в себя на середине книги, под завязку набитый японскими традициями, обычаями, именами, географией.","Я смотрю на этот двухтомник и облизываюсь-).

1. Два тома японских сказок.
2. Два тома японских сказок в переводе Веры Марковой.
3. Неизвестен иллюстратор (возможно, что ""неизвестные японские"")
3. Непонятно, что за бумагу применили в издании.

Пока не указано кем проиллюстрировано издание.
Чисто внешне, по обложке - выглядят книги - очень богато.
Очень надеюсь, что иллюстрации будут соответствовать тексту.

Судя по описанию в книгах применен нормальный, плотный и прочный офсет.
;
Содержание 2-х томов полностью повторяет книгу ""Легенды и сказки Древней Японии"", изданную в серии Bibliotheca mythologica издательства У-Фактория. Не поленитесь проверить оба этих издания по содержанию. К сожалению при сравнении через опцию ""сравнить"" высвечивается только 129 сказок в ""Легенды ... "", на самом деле их там 178. В оба издания вошли сказки и легенда в безукоризненном переводе Марковой. По цене двухтомник дороже в 2 раза.

Всем собирателям сказок - содержание книги на отлично. Сказки весьма самобытные, даже вроде знакомый сюжет развернут совершенно по-другому.
;
Иллюстраций очень мало. Большинство сказок совсем без иллюстраций. Названия сказок не читаются из-за шрифта. Бумага плотная и белая. Если бы не такое количество сказок, не купила бы. Очень дорого для такого исполнения."
390709,https://www.labirint.ru/books/390709/,Лариса Рыбакова: Синергетическая фольклористика. Порядок в хаосе фольклорного микромира (+CD),0.00,"Издание имеет две части. Первая (печатная) - отвечает на такие вопросы. Из каких слагаемых и как организуются народные песни? Чем и почему отличаются их многочисленные варианты? В чем специфика фольклористики как науки? Как связаны культурные традиции и биологическое наследие человека? Вторая часть (на CD-диске) - это самое большое собрание текстов русского фольклора (11280 текстов). Учтены записи XVIII, XIX, XX веков, они представляют всю территорию расселения русского народа. Вторая часть конкретизирует положения первой, это также в настоящее время единственный каталог русских народных песен, справочник, антология на тему ""Дети - Родители"". Собрание позволяет сформировать общий образ большей части песенной традиции, найти (через оглавления, указатели), понять (через описания, комментарии) ту или иную песню (примерно 2450 произведений). Позволяет стандартизированно и экономно описывать тексты из неучтенных собранием книг и архивов. Издание рассчитано на широкий круг специалистов: фольклористов, других исследователей народной культуры; гуманитариев и естественников, заинтересованных проблемой связи культурных и природных феноменов. Издание также адресовано всем хранителям и ценителям русских народных песен.",
785089,https://www.labirint.ru/books/785089/,Михаил Салье: Арабские сказки,8.40,"Истории, входящие в иллюстрированное издание ""Арабских сказок"", весьма разнородные по стилю и содержанию, восходят к арабскому, иранскому и индийскому фольклору. Это калейдоскоп событий и образов давно минувшей эпохи с пестрым колоритом нравов и быта различных слоев населения во времена правления багдадского халифа Харун ар-Рашида. Связующим звеном всех сказок является мудрая и начитанная дочь визиря Шехерезада. Спасаясь от расправы Шахрияра, после измены ополчившегося на всех женщин, Шехерезада своими историями отвлекает тирана от мрачных мыслей и разжигает его любопытство, прерывая свой рассказ на самом интересном месте!Джинны и колдуны, запечатанные тайным словом сокровища, волшебные кольца и светильники, очарованные юноши и лукавые красавицы - таким открывается читателю причудливый, пестрый, загадочный мир арабских сказок.","Издание добротное, плотная бумага, хороший шрифт. Иллюстраций достаточно, есть и цветные и черно-белые. Сказки не детские. Рекомендую."
755695,https://www.labirint.ru/books/755695/,Иван Худяков: Полное собрание русских сказок. Том 6. Великорусские сказки. Великорусские загадки,0.00,"Настоящее издание включает два классических издания русского фольклора, принадлежащие И. А. Худякову - видному фольклористу середины XIX столетия. ""Великорусские сказки"" - первый сборник в истории русской фольклористики, составленный из собственных записей собирателя. Они были сделаны в центральных губерниях России и в Москве. В этом собрании немало оригинальных сказок и вариантов, не встречающихся в ""Народных русских сказках"" А.Н.Афанасьева. ""Великорусские сказки"" И.А.Худякова переиздавались лишь однажды - более трети века назад.  Другое классическое собрание И. А.Худякова - ""Великорусские загадки"", служит как бы дополнением к мифологическим воззрениям молодого ученого, проявившимся в сборнике сказок. Загадки составлены на основе архивных материалов, относящихся к разным регионам России.",
510743,https://www.labirint.ru/books/510743/,Сказки народов Кавказа,8.70,"В книге представлены сказки большинства народов, проживающих по обе стороны Кавказского хребта. Всего в сборнике сто двадцать народных сказок, дающих достаточно полное представление о мировоззрении и особенностях культуры множества народов, обитающих в этом уникальном регионе, где соединяются столь разные и одновременно столь похожие друг на друга Запад и Восток Евразийского материка.Составитель: Корхас Б.","Дорогая из-за своего размера книга (формат А4, картонная обложка с золотым тиснением, более 700 страниц текста) включает в себя по 5 сказок 24 народов, проживающих на Кавказе.
Из минусов хочется отметить слегка просвечивающуюся газетную бумагу и отсутствие цветных иллюстраций, хотя украшением книги можно считать одинаковый орнамент в верхней части страниц и заключение в цветочную рамку номера страницы, а также завершающие почти каждую сказку растительные миниатюры и художественно оформленные заглавные первые буквы каждой сказки.
Я считаю, что особой художественной ценности книга не имеет, а вот содержание - подборка сказок - ""жемчужин народной фантазии"" (К. Кулиев) такого большого количества народов в одной книге действительно вызывает восхищение и благодарность.
;
Вот это книга ,ни книга ,а книжища!Книга огромная,но не очень тяжелая,благодаря тонкой бумаге,что нисколько ее не портит.Такого количества сказок больше нет ни в одном сборнике.Издание 2009 года,где оно было до сих пор,на  каких складах,ну и хорошо что где-то хранилось ,а то бы до нас не добралось, уже бы давно раскупили.Очень рекомендую к покупке.
;
Иллюстраций нет, но оформлена довольно симпатично-маленькие зарисовки в начале и конце каждой сказки. Бумага не белая, а бежевого оттенка, немного просвечивает. Уже судя по содержанию, сказки малоизвестные и незаурядные. Сборник достойнейший, аналогов ему я не знаю. Книга имеет разделы, каждый из которых содержит сказки одной из народностей. Перед каждым разделом -бонус- народная мудрость. Не пожалела о покупке!"
