id,link,name,rate,description,reviews
822941,https://www.labirint.ru/books/822941/,"Якоб, Видмер: Руководство по счастливой любви. Избавьтесь от ошибочных моделей поведения и создайте идеальные",9.35,"Вам знакомы неудачи в любви? Когда, оглядываясь назад, видишь пустоту, нереализованные желания и тщетные страсти. Или когда не устраивают сегодняшние отношения и вы не знаете, как изменить их к лучшему. А может, вы снова и снова заходите на сайт знакомств, но вдруг перестаете понимать, что же на самом деле ищете. Если, читая это, вы согласно киваете, то ""Руководство по счастливой любви"" написано для вас! Эта книга поможет вам: - лучше понять себя, определив свой типаж в отношениях; - узнать, какой партнер подходит вам больше всего; - выявить и изменить ошибочные шаблоны поведения; - сберечь взаимопонимание; - вовремя заметить, что что-то пошло не так, и расстаться с партнером-пустышкой. С помощью схема-терапии авторы избавят вас от хаоса в отношениях и подарят шанс на счастливую любовь. Если хотите миновать теорию, то можете обратиться к легко узнаваемым историям трех героинь - Элли, Леоноры и Сары. Через их ошибки, страхи и невзгоды авторы покажут вам путь к гармонии. В конце каждой истории вас ждут выводы, тесты и упражнения. Они помогут лучше позиционировать себя в отношениях, чтобы наконец создать идеальные. Гитта Якоб - психолог-психотерапевт поведенческой и схема-терапии. Александра Видмер - врач-невролог и психотерапевт. Авторы множества книг, переведенных на десятки языков.","Психология в тренде! В этом жанре пишут много чуши, поэтому важно находить достойные книги. Мне кажется, «Руководство по счастливой любви» – как раз такая. Во-первых, здесь именитые авторы – не просто психологи, а терапевты. Александра Видмер даже с медицинским образованием!
Во-вторых, повествование максимально конкретно: ты делал А, поэтому получил Б. Никакого растекания мыслей по бумаге! Мне понравилось, что в книге много примеров, много объяснений и присутствуют элементы из схема-терапии. Издание, конечно, не заменит поход к психологу и работу над собой, но в качестве дополнения к нему будет очень кстати.
Тема ведь актуальная! Каждый хочет найти любовь. Но у нас перед глазами редко бывают примеры счастливых отношений. Вот и мучаем друг друга, ходя по кругу, раз за разом проигрывая невротический сценарий. «Руководство по счастливой любви» поможет избавиться от этого и научиться строить качественно иные романтические отношения.
;
Схема-терапия максимально приближена к жизни, а иногда и немного утрирует ее для наглядности. Это значит, что в книге будут наглядные примеры «из жизни» с последующим разбором, а потом вам самим надо будет (если захотите, конечно) с помощью вопросов проанализировать собственную ситуацию и узнать, какие паттерны лежат в ее основе. Это книга для работы с карандашом и ручкой в руках (если вы, как я, не любите писать в книгах, заведите отдельный блокнотик: у меня большая тетрадь для всякого рода упражнений), для работы над собой. Указатель тестов и упражнений приложен в конце, так что к ним можно всегда вернуться, если захочется сперва прочесть всю книгу, а потом перейти к практике.
;
Интересная книга, как контролировать и ""программировать"" своё поведение. Тут речь не только о любовных отношениях, но и о более широком спектре жизненных ситуаций. Написано, пожалуй, в первую очередь для женской аудитории."
935065,https://www.labirint.ru/books/935065/,Anthony Peake: Cheating the Ferryman. The Revolutionary Science of Life After Death,0.00,"What happens when we die? This is the ultimate question which has plagued humankind from the moment we became self-aware. We have sought various ways to answer it, from an afterlife and reincarnation to the belief that we simply cease to exist. However, Anthony Peake suggests that there is another alternative, one that is based on science, logic and simple common sense, one that also manages to explain a number of seemingly mysterious experiences such as precognition, deja vu, synchronicity, near-death experiences, out-of-body experiences, doppelgangers and spirit guides. It is called Cheating the Ferryman. Using the latest findings of neurochemistry, quantum physics and consciousness studies, Peake argues that death is not the end of human consciousness. Instead, he suggests that when we appear to die, we in fact begin our lives over and over again in seemingly endless succession. His evidence is amassed from new studies by world-leading researchers, never-before-published accounts supplied to Peake from his readers, together with an astonishing collection of unpublished letters sent to British playwright J.B. Priestley on 'anomalous time experiences' sourced from Cambridge University archives.Cheating the Ferryman is the much-awaited sequel to Peake's internationally bestselling book Is There Life After Death?. This inspiring and extraordinary book will appeal to anyone wishing to investigate the scientific possibility of life after death.",
935071,https://www.labirint.ru/books/935071/,Rafael Santandreu: Shake It Off! Build Emotional Strength for Daily Happiness,0.00,"Bestselling author Rafael Santandreu knows how to ensure our happiness in life. One of the most prestigious psychologists in Spain, he has established his own renowned center of psychotherapy and has laid the foundations of a new era in the treatment of emotional disorders.Teaching a philosophy of rational acceptance and emotional resilience, Santandreu allows us to use our capacity for logic to good effect in everyday life. We do not need to be buffeted by our emotions or to catastrophise our lives. Building on the work of the imminent psychologist Albert Ellis, Santandreu adds his own take on how to build our capacity for dealing with life's problems.Shake It Off! offers ways to:• Build self-esteem• Improve personal relationships• Alleviate feelings of depression and anxiety• Unravel irrational beliefs and unhealthy thought-patternsWith case studies and suggestions throughout, you will learn how to stop obsessive, unhelpful thoughts and create a life which is free from fears and open to adventure.",
958440,https://www.labirint.ru/books/958440/,"Мона Делахук: Что хочет мой ребенок? Нейропсихология о том, как понять своих детей",0.00,"Основная цель книги - помочь родителям создать с детьми по-настоящему личные отношения, опираясь на глубокое уважение к их индивидуальности, отраженной в постоянно меняющемся мозге и теле.За более чем тридцатилетний опыт работы в качестве клинического психолога доктор Мона Делахук видела, как бесчисленное множество обезумевших родителей входили в дверь ее кабинета. В большинстве случаев эти родители - заботливые, сострадательные и проницательные люди - прочитали все книги по воспитанию детей на полках, но они все еще находятся в раздражении и замешательстве, задаваясь вопросом, почему они не могут исправить разрушительное поведение своего ребенка.В этой книге доктор Делахук предлагает новый подход к воспитанию, который фокусируется на уникальной нейробиологии ребенка. Опираясь на последние исследования в области неврологии и поливагальной теории, которая обеспечивает основу для понимания взаимосвязи между нашей нервной системой и нашими чувствами и эмоциями, она рассказывает, как родители могут переключить внимание с решения проблемного поведения на понимание того, что лежит в основе этого поведения. Вместо подхода ""сверху вниз"", предполагающего, что мозг управляет телом, она выступает за подход ""снизу вверх"" или ""тело вверх"", который учитывает существенную роль всей нервной системы с акцентом на сенсорную обработку.",
138702,https://www.labirint.ru/books/138702/,Михаил Литвак: Принцип сперматозоида. Учебное пособие,8.17,"В учебном пособии рассказано о приемах и методах, применяемых автором на сеансах групповой психотерапии, психологических тренингах, а также при индивидуальном семейном и производственном консультировании (целенаправленное моделирование эмоций, психологическое айкидо, сценарное перепрограммирование и др.). Описан объединяющий их общий принцип. Рассчитано на психотерапевтов, психологов, педагогов. Увлекательная и необычайная манера изложения делает книгу доступной широкому кругу читателей, интересующихся психологией общения.56-е издание.","Если бы его книги попали ко мне в юности, то моя жизнь сложилась по-другому! Многое стало понятно в словах и отношениях людей, зачем он(она) так говорит, почему так поступает. Вобщем удалось подняться со слепого уровня до такого, где ты уже начинаешь понимать процессы окружающего социума. И после освоения первой книги, которая попала мне в руки(""Если хочешь стать счастливым""), я довольно резко поменяла свою жизнь, в 38 лет поступила учиться(высшего образования у меня не было, да и среднего тоже), потом переехала в Питер, через четыре года уже - своя малюсенькая, но своя, квартира.     
""Стать счастливым"" более сложная вещь, но она работает. Сложна его ""Логика"", но делает тебя  недоступным объектом для околпачивания. ""Сперматозоид"" читается легко. Я прочитала почти все книги Литвака и могу сказать только одно:"" Спасибо! Спасибо! Спасибо, Михаил Ефимович!!!""
;
В книгах М.Е. Литвака много повторений, но есть ряд книг, котрые я рекомендую все же прочитать всем. Эта книга одна из них. Я обожаю этого автора за прямоту, остроумие и профессионализм. Если у вас есть какая-то неустроенность в жизни, какие-то проблемы - почитайте, многое встанет на свои места. Мне книги оказались очень полезны.
;
Книга отличная! Поясняет многие распространенные афоризмы, сводит их в систему и, главное, помогает претворить в жизнь! Мало знать красивые фразы, надо и к себе применять их - в этом плане книга шикарна! 
Читается легко. Подкреплена множеством живых примеров, что само по себе бесценно. Многому учит, причем и тех, у кого нет серьезных проблем.
Сестра и подруга также причитали, остались довольны. Не могу сказать подобного о других книгах Литвака, эта самая лучшая, по-моему."
976949,https://www.labirint.ru/books/976949/,Sue Morris: Overcoming Grief. A Self-Help Guide Using Cognitive Behavioural Techniques,0.00,"Grief is a natural reaction to loss, but in some cases it can be devastating, causing a loss of direction which can impact our relationships and work.This practical guide will help you to regain a sense of control and offers tried and tested strategies for adjusting to life without your spouse, friend or family member.Relentless grief can cause a host of physical problems, including difficulties eating, disrupted sleep and becoming over-reliant on alcohol. It can also lead to serious emotional and psychological problems such as depression, anxiety, panic attacks and complicated grief. But techniques from cognitive behavioural therapy (CBT) can help.This self-help book covers:Coping with the unexpected or long-anticipated death of a loved oneEstablishing a routine and tackling avoidance of difficult issuesPractical concerns such as making decisions and dealing with birthdays and anniversariesReturning to work and planning a new futureOVERCOMING self-help guides use clinically-proven techniques to treat long-standing and disabling conditions, both psychological and physical. Many guides in the Overcoming series are recommended under the Reading Well Books on Prescription scheme.Series Editor: Professor Peter Cooper",
667337,https://www.labirint.ru/books/667337/,Джеймс Манган: Секрет легкой жизни. Как жить без проблем,7.00,"Джеймс Т. Манган известен на Западе как создатель системы легкой жизни, которая буквально произвела переворот в психотерапевтических сообществах конца предыдущего века. Чего стоило одно только слово ""вместе"", простое произнесение которого помогало справляться с болезнями, устранять внутренний разлад и налаживать отношения с окружающими!Энергетика слов-паролей - своего рода ""обыкновенное чудо"", позволяющее обычную человеческую жизнь превратить в жизнь райскую. Одно-единственное слово поможет не только найти потерянную вещь или новых друзей, но и удержит вас от рокового шага. Вечная молодость, сопутствующая легкой жизни, перестанет быть недостижимым идеалом. Вы получите все, к чему безуспешно стремились долгие годы - успех, удачу, счастье...Сделайте систему Дж. Т. Мангана своей повседневной практикой, и легкая жизнь вам обеспечена!12-е издание.","Книга стоящая! Рекомендовал бы её многим, если не всем. Мне помог пароль ""Изменение"". У меня на протяжении полутора лет побаливало левое предплечье. Боль возникала спонтанно, и всегда проявлялась во время физических нагрузок. Во время физической разминки она о себе напомнила. Я сконцентрировал внимание на указанной части конечности и про себя произнес пароль: ""Изменение"", ""Изменение вместе"". И так несколько раз. И боль утихла. На следующий день некоторые её проявления появились при более высокой нагрузке. Но пароль снова выручил. Хотя, какое-то чутье мне подсказывает, что это была уже не сама боль, а её фантом. Я верил, что пароль мне поможет. Это одно из главных условий, чтобы он запустил нужный механизм. Сейчас книгу углубленно изучаю, делаю нужные мне пометки. Книга полезная!
;
Книга интересная ,думаю многим она может быть полезна, конечно это касается тех людей которые хотят изменить и понять себя.
;
Отличная книга с практическими советами, которые реально работают! Мы реально забываем про силу подсознания, а оно может быть нашим союзником и помощником!"
902769,https://www.labirint.ru/books/902769/,"Owen O`Kane: Ten to Zen. Ten Minutes a Day to a Calmer, Happier You",10.00,"Ten to Zen is a simple, effective and fuss-free guide to help you start your day in the right headspace to prepare for the challenges it may bring.Each morning most of us will spend about ten minutes in the shower, ten minutes making and eating breakfast but no time at all clearing our minds. Ten to Zen uses a combination of four therapeutic models - Mindfulness, Cognitive Behavioural Therapy, Psychotherapy and Eye Movement Desensitization and Reprocessing (EMDR) therapy - in a simple, easy-to-follow programme.You will learn:- How to settle your mind quickly- How to focus and retrain your brain on dealing with stress- How to restructure unhelpful patterns of thinking- How to develop ways of communicating that are more effectiveTen to Zen was developed by Owen O'Kane to encourage new principles for living based on his experience as a psychotherapist and his many years of caring for the dying in the field of palliative care, which has hugely influenced how he works and how he views life.",
903169,https://www.labirint.ru/books/903169/,Dave Trott: One Plus One Equals Three. A Masterclass in Creative Thinking,0.00,"How do you make something out of nothing?Up your game with this masterclass in creative thinking. Combining Dave Trott's distinctive, almost Zen-like storytelling, humour and practical advice, One Plus One Equals Three is a collection of provocative anecdotes and thought experiments designed to light a fire under your own creative ambitions.From the First World War sailor who survived being sunk three times in one day to the one-time 'merchant of death' who made his name a byword for peace, and the gypsy who lost two fingers and then reinvented jazz. From boardroom to battlefield, these stories of unconventional wisdom from one of the world's true advertising greats are a rallying cry for anyone who wants to think differently, stand out and truly innovate.",
903234,https://www.labirint.ru/books/903234/,Richard Wiseman: Paranormality. The Science of the Supernatural,0.00,"Professor Richard Wiseman is clear about one thing: paranormal phenomena don't exist. But in the same way that the science of space travel transforms our everyday lives, so research into telepathy, fortune-telling and out-of-body experiences produces remarkable insights into our brains, behaviour and beliefs. Paranormality embarks on a wild ghost chase into this new science of the supernatural and is packed with activities that allow you to experience the impossible. So throw away your crystals, ditch your lucky charms and cancel your subscription to Reincarnation Weekly. It is time to discover the real secrets of the paranormal.Learn how to control your dreams - and leave your body behindConvince complete strangers that you know all about themUnleash the power of your unconscious mind",
